Temp Delta,Weekday,Avg Date,Date,Name,Number of Records,Prcp,Trails,Traffic,Station,Tmax,Tmin,Time
23,1,168.5714286,8/6/17,"AUSTIN GREAT HILLS, TX US",1,0,Shoal Creek Trail & 24th St- Urban Trail,94,USC00410433,97,74,8/6/17 0:00
23,7,168.5714286,8/6/16,"AUSTIN GREAT HILLS, TX US",1,0,Shoal Creek Trail & 24th St- Urban Trail,,USC00410433,97,74,8/6/16 0:00
22,6,168.5714286,8/5/16,"AUSTIN GREAT HILLS, TX US",1,0,Shoal Creek Trail & 24th St- Urban Trail,,USC00410433,96,74,8/5/16 0:00
23,5,168.5714286,8/4/16,"AUSTIN GREAT HILLS, TX US",1,0,Shoal Creek Trail & 24th St- Urban Trail,,USC00410433,97,74,8/4/16 0:00
23,4,168.5714286,8/3/16,"AUSTIN GREAT HILLS, TX US",1,0,Shoal Creek Trail & 24th St- Urban Trail,,USC00410433,96,73,8/3/16 0:00
23,3,168.5714286,8/2/16,"AUSTIN GREAT HILLS, TX US",1,0,Shoal Creek Trail & 24th St- Urban Trail,,USC00410433,96,73,8/2/16 0:00
22,2,168.5714286,8/1/16,"AUSTIN GREAT HILLS, TX US",1,0,Shoal Creek Trail & 24th St- Urban Trail,,USC00410433,94,72,8/1/16 0:00
20,1,168.5714286,7/31/16,"AUSTIN GREAT HILLS, TX US",1,0,Shoal Creek Trail & 24th St- Urban Trail,,USC00410433,94,74,7/31/16 0:00
28,7,1054.5,9/7/19,"AUSTIN GREAT HILLS, TX US",1,0,Butler Trail : Longhorn Dam - Urban Trail,1513,USC00410433,100,72,9/7/19 0:00
30,6,1054.5,9/6/19,"AUSTIN GREAT HILLS, TX US",1,0,Butler Trail : Longhorn Dam - Urban Trail,678,USC00410433,100,70,9/6/19 0:00
28,5,1054.5,9/5/19,"AUSTIN GREAT HILLS, TX US",1,0,Butler Trail : Longhorn Dam - Urban Trail,794,USC00410433,98,70,9/5/19 0:00
30,4,1054.5,9/4/19,"AUSTIN GREAT HILLS, TX US",1,0,Butler Trail : Longhorn Dam - Urban Trail,859,USC00410433,99,69,9/4/19 0:00
29,3,1054.5,9/3/19,"AUSTIN GREAT HILLS, TX US",1,0,Butler Trail : Longhorn Dam - Urban Trail,789,USC00410433,98,69,9/3/19 0:00
26,2,1054.5,9/2/19,"AUSTIN GREAT HILLS, TX US",1,0,Butler Trail : Longhorn Dam - Urban Trail,1571,USC00410433,97,71,9/2/19 0:00
24,1,1054.5,9/1/19,"AUSTIN GREAT HILLS, TX US",1,0,Butler Trail : Longhorn Dam - Urban Trail,1390,USC00410433,97,73,9/1/19 0:00
16,7,1054.5,9/8/18,"AUSTIN GREAT HILLS, TX US",1,0.29,Butler Trail : Longhorn Dam - Urban Trail,1540,USC00410433,87,71,9/8/18 0:00
22,6,1054.5,9/7/18,"AUSTIN GREAT HILLS, TX US",1,1.12,Butler Trail : Longhorn Dam - Urban Trail,570,USC00410433,94,72,9/7/18 0:00
20,5,1054.5,9/6/18,"AUSTIN GREAT HILLS, TX US",1,0,Butler Trail : Longhorn Dam - Urban Trail,810,USC00410433,93,73,9/6/18 0:00
17,4,1054.5,9/5/18,"AUSTIN GREAT HILLS, TX US",1,0.52,Butler Trail : Longhorn Dam - Urban Trail,801,USC00410433,90,73,9/5/18 0:00
20,3,1054.5,9/4/18,"AUSTIN GREAT HILLS, TX US",1,0.19,Butler Trail : Longhorn Dam - Urban Trail,599,USC00410433,94,74,9/4/18 0:00
23,2,1054.5,9/3/18,"AUSTIN GREAT HILLS, TX US",1,0,Butler Trail : Longhorn Dam - Urban Trail,1252,USC00410433,98,75,9/3/18 0:00
26,1,1054.5,9/2/18,"AUSTIN GREAT HILLS, TX US",1,0,Butler Trail : Longhorn Dam - Urban Trail,1597,USC00410433,97,71,9/2/18 0:00
28,7,1054.5,9/9/17,"AUSTIN GREAT HILLS, TX US",1,0,Butler Trail : Longhorn Dam - Urban Trail,,USC00410433,83,55,9/9/17 0:00
28,6,1054.5,9/8/17,"AUSTIN GREAT HILLS, TX US",1,0,Butler Trail : Longhorn Dam - Urban Trail,,USC00410433,83,55,9/8/17 0:00
27,5,1054.5,9/7/17,"AUSTIN GREAT HILLS, TX US",1,0,Butler Trail : Longhorn Dam - Urban Trail,,USC00410433,83,56,9/7/17 0:00
25,4,1054.5,9/6/17,"AUSTIN GREAT HILLS, TX US",1,0,Butler Trail : Longhorn Dam - Urban Trail,,USC00410433,93,68,9/6/17 0:00
23,3,1054.5,9/5/17,"AUSTIN GREAT HILLS, TX US",1,0,Butler Trail : Longhorn Dam - Urban Trail,,USC00410433,90,67,9/5/17 0:00
23,2,1054.5,9/4/17,"AUSTIN GREAT HILLS, TX US",1,0,Butler Trail : Longhorn Dam - Urban Trail,,USC00410433,89,66,9/4/17 0:00
27,1,1054.5,9/3/17,"AUSTIN GREAT HILLS, TX US",1,0,Butler Trail : Longhorn Dam - Urban Trail,,USC00410433,92,65,9/3/17 0:00
16,7,1054.5,9/3/16,"AUSTIN GREAT HILLS, TX US",1,0,Butler Trail : Longhorn Dam - Urban Trail,,USC00410433,87,71,9/3/16 0:00
21,6,1054.5,9/2/16,"AUSTIN GREAT HILLS, TX US",1,0,Butler Trail : Longhorn Dam - Urban Trail,,USC00410433,92,71,9/2/16 0:00
20,5,1054.5,9/1/16,"AUSTIN GREAT HILLS, TX US",1,0,Butler Trail : Longhorn Dam - Urban Trail,,USC00410433,91,71,9/1/16 0:00
17,4,1054.5,8/31/16,"AUSTIN GREAT HILLS, TX US",1,0,Butler Trail : Longhorn Dam - Urban Trail,,USC00410433,88,71,8/31/16 0:00
17,3,1054.5,8/30/16,"AUSTIN GREAT HILLS, TX US",1,0.23,Butler Trail : Longhorn Dam - Urban Trail,,USC00410433,88,71,8/30/16 0:00
20,2,1054.5,8/29/16,"AUSTIN GREAT HILLS, TX US",1,0.07,Butler Trail : Longhorn Dam - Urban Trail,,USC00410433,89,69,8/29/16 0:00
21,1,1054.5,8/28/16,"AUSTIN GREAT HILLS, TX US",1,0,Butler Trail : Longhorn Dam - Urban Trail,,USC00410433,90,69,8/28/16 0:00
16,7,1170,5/18/19,"AUSTIN GREAT HILLS, TX US",1,0,Butler Trail : Longhorn Dam - Urban Trail,1076,USC00410433,87,71,5/18/19 0:00
19,6,1170,5/17/19,"AUSTIN GREAT HILLS, TX US",1,0,Butler Trail : Longhorn Dam - Urban Trail,993,USC00410433,85,66,5/17/19 0:00
24,5,1170,5/16/19,"AUSTIN GREAT HILLS, TX US",1,0,Butler Trail : Longhorn Dam - Urban Trail,1022,USC00410433,86,62,5/16/19 0:00
20,4,1170,5/15/19,"AUSTIN GREAT HILLS, TX US",1,0,Butler Trail : Longhorn Dam - Urban Trail,971,USC00410433,80,60,5/15/19 0:00
28,3,1170,5/14/19,"AUSTIN GREAT HILLS, TX US",1,0,Butler Trail : Longhorn Dam - Urban Trail,932,USC00410433,82,54,5/14/19 0:00
24,2,1170,5/13/19,"AUSTIN GREAT HILLS, TX US",1,0,Butler Trail : Longhorn Dam - Urban Trail,1119,USC00410433,77,53,5/13/19 0:00
7,1,1170,5/12/19,"AUSTIN GREAT HILLS, TX US",1,0.07,Butler Trail : Longhorn Dam - Urban Trail,2186,USC00410433,62,55,5/12/19 0:00
23,7,1170,5/19/18,"AUSTIN GREAT HILLS, TX US",1,0,Butler Trail : Longhorn Dam - Urban Trail,1724,USC00410433,93,70,5/19/18 0:00
29,6,1170,5/18/18,"AUSTIN GREAT HILLS, TX US",1,0,Butler Trail : Longhorn Dam - Urban Trail,886,USC00410433,96,67,5/18/18 0:00
33,5,1170,5/17/18,"AUSTIN GREAT HILLS, TX US",1,0,Butler Trail : Longhorn Dam - Urban Trail,859,USC00410433,96,63,5/17/18 0:00
27,4,1170,5/16/18,"AUSTIN GREAT HILLS, TX US",1,0.04,Butler Trail : Longhorn Dam - Urban Trail,1014,USC00410433,90,63,5/16/18 0:00
20,3,1170,5/15/18,"AUSTIN GREAT HILLS, TX US",1,0,Butler Trail : Longhorn Dam - Urban Trail,900,USC00410433,90,70,5/15/18 0:00
17,2,1170,5/14/18,"AUSTIN GREAT HILLS, TX US",1,0,Butler Trail : Longhorn Dam - Urban Trail,1052,USC00410433,89,72,5/14/18 0:00
20,1,1170,5/13/18,"AUSTIN GREAT HILLS, TX US",1,0,Butler Trail : Longhorn Dam - Urban Trail,1646,USC00410433,91,71,5/13/18 0:00
26,7,1170,5/20/17,"AUSTIN GREAT HILLS, TX US",1,1.56,Butler Trail : Longhorn Dam - Urban Trail,,USC00410433,90,64,5/20/17 0:00
17,6,1170,5/19/17,"AUSTIN GREAT HILLS, TX US",1,0,Butler Trail : Longhorn Dam - Urban Trail,,USC00410433,89,72,5/19/17 0:00
20,5,1170,5/18/17,"AUSTIN GREAT HILLS, TX US",1,0.09,Butler Trail : Longhorn Dam - Urban Trail,,USC00410433,88,68,5/18/17 0:00
16,4,1170,5/17/17,"AUSTIN GREAT HILLS, TX US",1,0.01,Butler Trail : Longhorn Dam - Urban Trail,,USC00410433,84,68,5/17/17 0:00
23,3,1170,5/16/17,"AUSTIN GREAT HILLS, TX US",1,0,Butler Trail : Longhorn Dam - Urban Trail,,USC00410433,89,66,5/16/17 0:00
31,2,1170,5/15/17,"AUSTIN GREAT HILLS, TX US",1,0,Butler Trail : Longhorn Dam - Urban Trail,,USC00410433,90,59,5/15/17 0:00
29,1,1170,5/14/17,"AUSTIN GREAT HILLS, TX US",1,0,Butler Trail : Longhorn Dam - Urban Trail,,USC00410433,87,58,5/14/17 0:00
19,7,1170,5/14/16,"AUSTIN GREAT HILLS, TX US",1,0,Butler Trail : Longhorn Dam - Urban Trail,,USC00410433,87,68,5/14/16 0:00
14,6,1170,5/13/16,"AUSTIN GREAT HILLS, TX US",1,0.12,Butler Trail : Longhorn Dam - Urban Trail,,USC00410433,81,67,5/13/16 0:00
22,5,1170,5/12/16,"AUSTIN GREAT HILLS, TX US",1,0,Butler Trail : Longhorn Dam - Urban Trail,,USC00410433,85,63,5/12/16 0:00
28,4,1170,5/11/16,"AUSTIN GREAT HILLS, TX US",1,0.59,Butler Trail : Longhorn Dam - Urban Trail,,USC00410433,90,62,5/11/16 0:00
20,3,1170,5/10/16,"AUSTIN GREAT HILLS, TX US",1,0,Butler Trail : Longhorn Dam - Urban Trail,,USC00410433,86,66,5/10/16 0:00
6,2,1170,5/9/16,"AUSTIN GREAT HILLS, TX US",1,0.08,Butler Trail : Longhorn Dam - Urban Trail,,USC00410433,70,64,5/9/16 0:00
25,1,1170,5/8/16,"AUSTIN GREAT HILLS, TX US",1,0,Butler Trail : Longhorn Dam - Urban Trail,,USC00410433,84,59,5/8/16 0:00
25,7,977.7857143,10/5/19,"AUSTIN GREAT HILLS, TX US",1,0,Butler Trail : Longhorn Dam - Urban Trail,1357,USC00410433,93,68,10/5/19 0:00
23,6,977.7857143,10/4/19,"AUSTIN GREAT HILLS, TX US",1,0,Butler Trail : Longhorn Dam - Urban Trail,782,USC00410433,94,71,10/4/19 0:00
23,5,977.7857143,10/3/19,"AUSTIN GREAT HILLS, TX US",1,0,Butler Trail : Longhorn Dam - Urban Trail,784,USC00410433,95,72,10/3/19 0:00
20,4,977.7857143,10/2/19,"AUSTIN GREAT HILLS, TX US",1,0,Butler Trail : Longhorn Dam - Urban Trail,801,USC00410433,95,75,10/2/19 0:00
20,3,977.7857143,10/1/19,"AUSTIN GREAT HILLS, TX US",1,0.09,Butler Trail : Longhorn Dam - Urban Trail,881,USC00410433,95,75,10/1/19 0:00
19,2,977.7857143,9/30/19,"AUSTIN GREAT HILLS, TX US",1,0,Butler Trail : Longhorn Dam - Urban Trail,700,USC00410433,95,76,9/30/19 0:00
17,1,977.7857143,9/29/19,"AUSTIN GREAT HILLS, TX US",1,0.09,Butler Trail : Longhorn Dam - Urban Trail,1416,USC00410433,93,76,9/29/19 0:00
16,7,977.7857143,10/6/18,"AUSTIN GREAT HILLS, TX US",1,0.01,Butler Trail : Longhorn Dam - Urban Trail,1067,USC00410433,89,73,10/6/18 0:00
17,6,977.7857143,10/5/18,"AUSTIN GREAT HILLS, TX US",1,0,Butler Trail : Longhorn Dam - Urban Trail,786,USC00410433,89,72,10/5/18 0:00
17,5,977.7857143,10/4/18,"AUSTIN GREAT HILLS, TX US",1,0,Butler Trail : Longhorn Dam - Urban Trail,902,USC00410433,89,72,10/4/18 0:00
15,4,977.7857143,10/3/18,"AUSTIN GREAT HILLS, TX US",1,0,Butler Trail : Longhorn Dam - Urban Trail,976,USC00410433,87,72,10/3/18 0:00
17,3,977.7857143,10/2/18,"AUSTIN GREAT HILLS, TX US",1,0.04,Butler Trail : Longhorn Dam - Urban Trail,790,USC00410433,86,69,10/2/18 0:00
16,2,977.7857143,10/1/18,"AUSTIN GREAT HILLS, TX US",1,0,Butler Trail : Longhorn Dam - Urban Trail,810,USC00410433,84,68,10/1/18 0:00
8,1,977.7857143,9/30/18,"AUSTIN GREAT HILLS, TX US",1,0.63,Butler Trail : Longhorn Dam - Urban Trail,1637,USC00410433,76,68,9/30/18 0:00
22,7,977.7857143,10/7/17,"AUSTIN GREAT HILLS, TX US",1,0,Butler Trail : Longhorn Dam - Urban Trail,,USC00410433,85,63,10/7/17 0:00
22,6,977.7857143,10/6/17,"AUSTIN GREAT HILLS, TX US",1,0,Butler Trail : Longhorn Dam - Urban Trail,,USC00410433,86,64,10/6/17 0:00
19,5,977.7857143,10/5/17,"AUSTIN GREAT HILLS, TX US",1,0.06,Butler Trail : Longhorn Dam - Urban Trail,,USC00410433,85,66,10/5/17 0:00
10,4,977.7857143,10/4/17,"AUSTIN GREAT HILLS, TX US",1,0.8,Butler Trail : Longhorn Dam - Urban Trail,,USC00410433,82,72,10/4/17 0:00
21,3,977.7857143,10/3/17,"AUSTIN GREAT HILLS, TX US",1,0,Butler Trail : Longhorn Dam - Urban Trail,,USC00410433,87,66,10/3/17 0:00
28,2,977.7857143,10/2/17,"AUSTIN GREAT HILLS, TX US",1,0,Butler Trail : Longhorn Dam - Urban Trail,,USC00410433,86,58,10/2/17 0:00
25,1,977.7857143,10/1/17,"AUSTIN GREAT HILLS, TX US",1,0,Butler Trail : Longhorn Dam - Urban Trail,,USC00410433,83,58,10/1/17 0:00
25,7,977.7857143,10/1/16,"AUSTIN GREAT HILLS, TX US",1,0,Butler Trail : Longhorn Dam - Urban Trail,,USC00410433,80,55,10/1/16 0:00
25,6,977.7857143,9/30/16,"AUSTIN GREAT HILLS, TX US",1,0,Butler Trail : Longhorn Dam - Urban Trail,,USC00410433,81,56,9/30/16 0:00
28,5,977.7857143,9/29/16,"AUSTIN GREAT HILLS, TX US",1,0,Butler Trail : Longhorn Dam - Urban Trail,,USC00410433,86,58,9/29/16 0:00
16,4,977.7857143,9/28/16,"AUSTIN GREAT HILLS, TX US",1,0,Butler Trail : Longhorn Dam - Urban Trail,,USC00410433,76,60,9/28/16 0:00
6,3,977.7857143,9/27/16,"AUSTIN GREAT HILLS, TX US",1,0.05,Butler Trail : Longhorn Dam - Urban Trail,,USC00410433,70,64,9/27/16 0:00
14,2,977.7857143,9/26/16,"AUSTIN GREAT HILLS, TX US",1,0.9,Butler Trail : Longhorn Dam - Urban Trail,,USC00410433,83,69,9/26/16 0:00
17,1,977.7857143,9/25/16,"AUSTIN GREAT HILLS, TX US",1,0,Butler Trail : Longhorn Dam - Urban Trail,,USC00410433,92,75,9/25/16 0:00
24,7,314.1428571,6/8/19,"AUSTIN GREAT HILLS, TX US",1,0,Shoal Creek Trail & 24th St- Urban Trail,470,USC00410433,92,68,6/8/19 0:00
23,6,314.1428571,6/7/19,"AUSTIN GREAT HILLS, TX US",1,0.25,Shoal Creek Trail & 24th St- Urban Trail,620,USC00410433,88,65,6/7/19 0:00
21,5,314.1428571,6/6/19,"AUSTIN GREAT HILLS, TX US",1,0.41,Shoal Creek Trail & 24th St- Urban Trail,322,USC00410433,86,65,6/6/19 0:00
10,4,314.1428571,6/5/19,"AUSTIN GREAT HILLS, TX US",1,0.94,Shoal Creek Trail & 24th St- Urban Trail,385,USC00410433,81,71,6/5/19 0:00
20,3,314.1428571,6/4/19,"AUSTIN GREAT HILLS, TX US",1,0,Shoal Creek Trail & 24th St- Urban Trail,215,USC00410433,92,72,6/4/19 0:00
